envo_id,label,exact_synonyms,broad_synonyms,narrow_synonyms,related_synonyms
ENVO_00000344,grain of desert sand,,,,
ENVO_00000106,grassland area,,,,herbaceous area|grazing area
ENVO_01000177,grassland biome,,,,
ENVO_01001206,grassland ecosystem,GRASSLAND|grassland,,,herbaceous area|downland|downs|grazing area|glade|Grassland|down
ENVO_00005750,grassland soil,,,,
ENVO_01000739,habitat,,,,
ENVO_01001175,habitat fragmentation process,,,,
ENVO_01000310,haline environment,,,,
ENVO_03501331,healthcare environment,,,,
ENVO_01000314,high osmolarity environment,,,,
ENVO_01000304,high pressure environment,,,,
ENVO_01000305,high temperature environment,,,,
ENVO_03501339,household environment,,,,
ENVO_2000045,hydrocarbon-based environmental material,,,,
ENVO_01001043,hypersaline water environment,,,,
ENVO_2100004,integumental system environment,,,,
ENVO_00000389,intermittent wetland,,,,
ENVO_01001468,intertidal ecosystem,,coastal zone,,IntertidalZone|littoral zone
ENVO_2100002,intestine environment,,,,
ENVO_01000058,kelp forest,,,,kelp bed
ENVO_01001405,laboratory environment,,,,
ENVO_00000891,large freshwater lake biome,,,,
ENVO_00000887,large river biome,,,,
ENVO_00000889,large river delta biome,,,,
ENVO_00000888,large river headwater biome,,,,
ENVO_01000815,liquid environmental material,,,,
ENVO_01000181,mangrove biome,,,,
ENVO_02000138,mangrove biome soil,mangrove soil,,,
ENVO_01000046,marginal sea biome,,,,
ENVO_01000027,marine abyssal zone biome,,,,
ENVO_01000054,marine basaltic hydrothermal vent biome,,,,
ENVO_01000026,marine bathyal zone biome,,,,
ENVO_01000024,marine benthic biome,,,,
ENVO_00000447,marine biome,,,,marine realm
ENVO_01000051,marine black smoker biome,,,,
ENVO_01000127,marine cold seep biome,,,,
ENVO_01000145,marine coral reef back reef,,,,
ENVO_01000049,marine coral reef biome,,,,
ENVO_01000148,marine coral reef buttress zone,,,,
ENVO_01000146,marine coral reef crest,,,,
ENVO_01000149,marine coral reef deep fore reef,,,,
ENVO_01000144,marine coral reef flat zone,,,,
ENVO_01000147,marine coral reef fore reef,,,,
ENVO_01001788,marine ecosystem,,,,
ENVO_01000320,marine environment,,,,
ENVO_01001201,marine environmental zone,,,,
ENVO_01000028,marine hadal zone biome,,,,
ENVO_01000030,marine hydrothermal vent biome,,,,
ENVO_01000025,marine neritic benthic zone biome,,,,
ENVO_01000073,marine oligotrophic desert,,,,
ENVO_01000023,marine pelagic biome,,,,
ENVO_01000143,marine reef,,,,
ENVO_01000029,marine reef biome,,,,
ENVO_01000022,marine salt marsh biome,,,,
ENVO_01000161,marine sponge reef,,,,
ENVO_01000123,marine sponge reef biome,,,,
ENVO_01000150,marine subtidal rocky reef,,,,
ENVO_01000050,marine subtidal rocky reef biome,,,,
ENVO_01000053,marine ultramafic hydrothermal vent biome,,,,
ENVO_01000858,marine upwelling biome,,,,
ENVO_01000052,marine white smoker biome,,,,
ENVO_01001691,mass of compounded environmental materials,,,,
ENVO_01001686,mass of environmental material,,,,
ENVO_00000108,meadow ecosystem,meadow,,,hay meadow
ENVO_01001833,mediterranean biome,,,,
ENVO_01001791,mediterranean forest,,,,
ENVO_01000199,mediterranean forest biome,,,,
ENVO_01001810,mediterranean grassland,,,,
ENVO_01000224,mediterranean grassland biome,,,,
